index,timestamp,ensemble_forecast
0,2008/6/18 0:00,154.02040761036972
1,2008/6/18 1:00,148.76277154687722
2,2008/6/18 2:00,141.30287943547376
3,2008/6/18 3:00,162.5588796036161
4,2008/6/18 4:00,226.15764094264077
5,2008/6/18 5:00,230.00708976347985
6,2008/6/18 6:00,234.3150757087733
7,2008/6/18 7:00,239.41028643630398
8,2008/6/18 8:00,246.20847438097599
9,2008/6/18 9:00,260.6388974743594
10,2008/6/18 10:00,270.7952619355633
11,2008/6/18 11:00,283.1200722328537
12,2008/6/18 12:00,298.75061007004064
13,2008/6/18 13:00,315.22062241944207
14,2008/6/18 14:00,330.48434199442556
15,2008/6/18 15:00,344.2461629305882
16,2008/6/18 16:00,356.54530255369997
17,2008/6/18 17:00,367.8507063028617
18,2008/6/18 18:00,379.2313079012343
19,2008/6/18 19:00,389.75981328584226
20,2008/6/18 20:00,397.78931903564717
21,2008/6/18 21:00,401.2459967752143
22,2008/6/18 22:00,400.7729229446553
23,2008/6/18 23:00,397.75612271048794
